word|content
이더리움 가스|이더리움 송금시 사용되는 일종의 수수료 
AML(Anti-Money Laundering)|자금세탁방지
KYC(Know Your Customer)|고객인증
블랙스완|기존 경험을 깨는 예기치 못한 극단적인 상황이 나타나 경제와 사회 등에 큰 파장을 불러오는 사건
리버스 ICO|이미 기업공개(IPO)를 마친 대기업이나 벤처캐피털을 통해 투자를 받은 유력 스타트업이 암호화폐를 공개
서킷브레이커|주식시장에서 주가가 급등 또는 급락하는 경우 주식매매를 일시 정지하는 제도
TPS|Transaction per Second. 초당 처리할 수 있는 거래내역의 수, 처리속도
오라클문제|블록체인에서 잘못된 정보 혹은 실제와 다른 정보가 올라오는 것
하드포크|기존 블록체인과 호환되지 않는 업데이트
소프트포크|기존 블록체인과 호환되는 업데이트
분산원장기술(DLT)|중앙 관리자나 중앙 데이터 저장소가 없으며, P2P망 내 모든 참여자(Peer)가 거래 장부를 서로 공유하여 감시관리하여 장부 위조를 막는 기술
아비트리지|재정거래. 동일상품이 지역에 따라 가격이 다를 때 이를 매매하여 차익을 얻으려는 방법
제네시스블록|블록체인 네트워크에서 생성된 첫 번째 블록
